[min90] hizli tarama basladi
[min90/min90_sentetik_2700_per_class_pima/no_insulin/svm_rbf] min=0.9693 acc=0.9738 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/no_insulin/random_forest] min=0.9711 acc=0.9783 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/no_insulin/extra_trees] min=0.9747 acc=0.9756 auc=0.9977
[min90/min90_sentetik_2700_per_class_pima/no_insulin/gradient_boosting] min=0.9656 acc=0.9747 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/no_insulin/hist_gradient_boosting] min=0.9711 acc=0.9738 auc=0.9969
[min90/min90_sentetik_2700_per_class_pima/no_insulin/adaboost] min=0.9711 acc=0.9738 auc=0.9974
[min90/min90_sentetik_2700_per_class_pima/no_insulin/mlp] min=0.9512 acc=0.9647 auc=0.9956
[min90/min90_sentetik_2700_per_class_pima/no_insulin/xgboost] min=0.9747 acc=0.9747 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/no_insulin/lightgbm] min=0.9729 acc=0.9738 auc=0.9972
[min90/min90_sentetik_2700_per_class_pima/no_insulin/soft_voting_rf_et_hgb] min=0.9747 acc=0.9783 auc=0.9977
[min90/min90_sentetik_2700_per_class_pima/no_insulin/soft_voting_xgb_lgbm_et] min=0.9729 acc=0.9729 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/logistic_regression] min=0.9711 acc=0.9765 auc=0.9982
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/gaussian_nb] min=0.9729 acc=0.9738 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/knn] min=0.9656 acc=0.9756 auc=0.9888
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/svm_rbf] min=0.9693 acc=0.9729 auc=0.9982
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/random_forest] min=0.9711 acc=0.9765 auc=0.9979
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/extra_trees] min=0.9747 acc=0.9756 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/gradient_boosting] min=0.9711 acc=0.9747 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/hist_gradient_boosting] min=0.9765 acc=0.9765 auc=0.9968
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/adaboost] min=0.9711 acc=0.9747 auc=0.9974
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/mlp] min=0.9675 acc=0.9675 auc=0.9941
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/xgboost] min=0.9747 acc=0.9765 auc=0.9973
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/lightgbm] min=0.9729 acc=0.9783 auc=0.9971
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/soft_voting_rf_et_hgb] min=0.9747 acc=0.9756 auc=0.9979
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_no_insulin/soft_voting_xgb_lgbm_et] min=0.9693 acc=0.9765 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/logistic_regression] min=0.9693 acc=0.9756 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/gaussian_nb] min=0.9747 acc=0.9774 auc=0.9949
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/knn] min=0.9620 acc=0.9729 auc=0.9921
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/svm_rbf] min=0.9638 acc=0.9765 auc=0.9977
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/random_forest] min=0.9729 acc=0.9774 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/extra_trees] min=0.9765 acc=0.9774 auc=0.9983
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/gradient_boosting] min=0.9711 acc=0.9729 auc=0.9970
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/hist_gradient_boosting] min=0.9711 acc=0.9738 auc=0.9975
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/adaboost] min=0.9656 acc=0.9738 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/mlp] min=0.9656 acc=0.9665 auc=0.9960
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/xgboost] min=0.9693 acc=0.9747 auc=0.9978
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/lightgbm] min=0.9693 acc=0.9756 auc=0.9976
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/soft_voting_rf_et_hgb] min=0.9747 acc=0.9774 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/clinical_interactions/soft_voting_xgb_lgbm_et] min=0.9747 acc=0.9774 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/logistic_regression] min=0.9693 acc=0.9756 auc=0.9982
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/gaussian_nb] min=0.9747 acc=0.9783 auc=0.9949
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/knn] min=0.9620 acc=0.9747 auc=0.9929
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/svm_rbf] min=0.9620 acc=0.9711 auc=0.9974
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/random_forest] min=0.9729 acc=0.9747 auc=0.9981
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/extra_trees] min=0.9765 acc=0.9765 auc=0.9982
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/gradient_boosting] min=0.9711 acc=0.9711 auc=0.9969
[min90/min90_sentetik_2700_per_class_pima/no_skinthickness_clinical_interactions/hist_gradient_boosting] min=0.9711 acc=0.9756 auc=0.9976
